binlabel,starttime,endtime,numofoccurrences,numofformations,numoflocalities
Cm1,541,530,398,32,95
Cm2,516,513,6937,182,1110
Cm3,500.5,497,3119,52,549
Cm4,497,485.4,903,25,361
Or1,485.4,477.7,3908,137,984
Or2,477.7,470,546,34,135
Or3,466,460.9,6831,241,1468
Or4,457.5,455.8,1458,52,224
Or5,449.5,443.7,15796,307,3177
S1,443.4,433.4,11272,228,2250
S2,433.4,427.4,19490,371,3048
D1,419.2,410.8,7886,191,1243
D2,407.6,393.3,2397,107,490
D3,387.7,382.7,22879,307,3789
D4,382.7,372.2,6387,166,1729
D5,372.2,358.9,3400,90,996
C1,358.9,346.7,3364,84,555
C2,345.3,336,5099,130,702
C3,330.9,323.2,919,39,270
C4,318.1,314.6,3881,147,1033
C5,305.9,298.9,6213,141,1217
P1,295.5,290.1,7760,235,2653
P2,279.3,272.3,11966,353,4229
P3,268.8,259.9,16289,330,5100
P4,259.9,254.17,19413,190,4884
Tr1,251.3,247.2,10382,168,3708
Tr2,247.2,242,9231,183,2974
Tr3,237,228,2853,110,903
Tr4,208.5,201.3,8813,179,3117
J1,201.3,196.5,2618,65,913
J2,189.6,183,9941,102,3187
J3,182,175.6,7060,92,2968
J4,170.3,166.1,4504,104,1230
J5,161.2,155.7,16623,246,3285
J6,150.8,145,4251,107,963
K1,145,136.4,3907,122,1304
K2,129.4,125,2615,92,789
K3,125,113,1171,60,330
K4,113,100.5,4058,132,1059
K5,100.5,93.9,2708,72,568
K6,93.5,89.3,7598,239,2824
K7,83.6,72.1,2398,70,635
K8,70.6,66,14908,171,2292
Cen1,66,61.6,7307,132,1284
Cen2,56,47.8,7542,174,1404
Cen3,41.3,33.9,12511,227,2024
Cen4,33.9,23.03,9832,260,1601
Cen5,23.03,15.97,16414,351,2246
Cen6,5.333,0.0117,39059,536,4968
